Candidate Number,,CEGE201M,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,COMP7008,ELEC210P,LCFR6001,LCFR6003,LCGE6001,LCGE6002,LCJA6001,LCJA6005,LCMA6001,LCMA6003,MSIN6001B,MSIN7008,MSIN716P,STAO6002,Outcome,Overall,,
LGLK1,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,67,65,68,72,77,83,76,,,66,,,,,,,,,,,,,Raw Average Module Mark,72,,
MBHB8,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.5,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,70,62,69,59,71,59,72,,,,,,,,64,,,,,,,,Raw Average Module Mark,66,,
KWSB8,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,74,89,66,76,75,66,91,64,,,,,,,,,,,,,,,Raw Average Module Mark,75,,
JHHK6,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,60,48,61,60,61,57,41,,,,,,,,,,,,,66,,,Raw Average Module Mark,57,,
LKDL4,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,70,64,66,65,75,85,75,,,,,,,,,,,,,,68,,Raw Average Module Mark,71,,
KBQT3,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,3.5,PP,Pass Progress to next academic year
,Module Result,,55,69,52,50,50,69,44,31,,,,,,,,,,,,,,,Raw Average Module Mark,56,,
LCXK3,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,48,57,58,67,70,64,52,,,,,,,,,,,,,64,,,Raw Average Module Mark,60,,
JVJS2,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,55,77,64,65,71,74,70,,,,,,,,,,,,,,59,,Raw Average Module Mark,67,,
KBBC5,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,81,79,69,73,75,58,63,,,72,,,,,,,,,,,,,Raw Average Module Mark,71,,
JMHM9,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,63,63,55,67,67,61,53,,,,,,,,,,,,,65,,,Raw Average Module Mark,62,,
JGBK3,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.5,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,66,63,61,62,64,45,71,,,,71,,,,,,,,,,,,Raw Average Module Mark,63,,
KCTC6,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,77,92,61,76,76,71,89,65,,,,,,,,,,,,,,,Raw Average Module Mark,76,,
LKCL5,Credit Value,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,65,73,70,65,83,81,74,61,,,,,,,,,,,,,,,,Raw Average Module Mark,72,,
KJLT0,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,95,90,70,57,70,77,76,73,,,,,,,,,,,,,,,Raw Average Module Mark,76,,
JZKK5,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
