Candidate Number,,CEGE201M,COMP105P,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,ELEC210P,ENGS212M,LCFR6001,LCFR6002,LCFR6003,LCGE6007,LCJA6001,LCMA6001,LCSP6001,MSIN6001B,MSIN7008,MSIN716P,STAO6001,STAO6002,Outcome,Overall,,
LDGL8,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,88,91,72,70,73,81,83,84,,,,,,,,,,,,,,,Raw Average Module Mark,80,,
KJNT8,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,82,80,65,67,64,79,79,,,,,,,,,,,,,55,,,Raw Average Module Mark,71,,
JLGB2,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,90,91,71,71,71,82,88,,86,,,,,,,,,,,,,,Raw Average Module Mark,81,,
KGBS4,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,95,92,71,73,76,93,95,75,,,,,,,,,,,,,,,Raw Average Module Mark,84,,
KSWC7,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,88,83,76,75,76,65,84,78,,,,,,,,,,,,,,,Raw Average Module Mark,78,,
KDMB3,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,75,88,59,67,70,74,61,,,,,,,,,,,,65,,,,Raw Average Module Mark,70,,
LLYT4,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,0.5,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
